Signal Type,Symbol,Frequency,Huffman Code,Code Length
White Noise,60,65,10011100,8
White Noise,61,65,10100011,8
White Noise,62,73,11100011,8
White Noise,63,68,11000010,8
White Noise,64,56,00111101,8
White Noise,65,59,01011001,8
White Noise,66,67,10111011,8
White Noise,67,60,01101010,8
White Noise,68,65,10011110,8
White Noise,69,52,00010011,8
White Noise,70,84,11111111,8
White Noise,71,64,10010111,8
White Noise,72,57,01000111,8
White Noise,73,60,01101011,8
White Noise,74,53,00011101,8
White Noise,75,60,01100111,8
White Noise,76,60,01101100,8
White Noise,77,73,11011111,8
White Noise,78,61,01110011,8
White Noise,79,53,00011111,8
White Noise,80,63,10000100,8
White Noise,81,71,11010110,8
White Noise,82,73,11100100,8
White Noise,83,72,11011010,8
White Noise,84,56,00111000,8
White Noise,85,65,10100000,8
White Noise,86,53,00100010,8
White Noise,87,67,10111010,8
White Noise,88,69,11001011,8
White Noise,89,62,01111111,8
White Noise,90,60,01100000,8
White Noise,91,49,00001001,8
White Noise,92,65,10011101,8
White Noise,93,59,01011101,8
White Noise,94,56,00110110,8
White Noise,95,61,01110000,8
White Noise,96,60,01101101,8
White Noise,97,62,01111011,8
White Noise,98,55,00110010,8
White Noise,99,57,01000110,8
White Noise,100,84,11111110,8
White Noise,101,64,10010100,8
White Noise,102,54,00101101,8
White Noise,103,59,01011110,8
White Noise,104,51,00010000,8
White Noise,105,57,01001011,8
White Noise,106,78,11110110,8
White Noise,107,58,01010010,8
White Noise,108,74,11101001,8
White Noise,109,78,11111000,8
White Noise,110,65,10011111,8
White Noise,111,60,01100100,8
White Noise,112,69,11000100,8
White Noise,113,49,00000101,8
White Noise,114,59,01011000,8
White Noise,115,67,10110000,8
White Noise,116,64,10010001,8
White Noise,117,52,00010010,8
White Noise,118,63,10000110,8
White Noise,119,53,00011100,8
White Noise,120,61,01110001,8
White Noise,121,61,01110010,8
White Noise,122,59,01011100,8
White Noise,123,56,00111010,8
White Noise,124,50,00001100,8
White Noise,125,61,01110101,8
White Noise,126,55,00101110,8
White Noise,127,63,10001011,8
White Noise,128,67,10110100,8
White Noise,129,75,11101101,8
White Noise,130,75,11101111,8
White Noise,131,54,00100111,8
White Noise,132,74,11101000,8
White Noise,133,67,10110111,8
White Noise,134,53,00100000,8
White Noise,135,68,11000001,8
White Noise,136,66,10101101,8
White Noise,137,52,00011000,8
White Noise,138,52,00011011,8
White Noise,139,50,00001110,8
White Noise,140,64,10011000,8
White Noise,141,74,11100110,8
White Noise,142,68,10111101,8
White Noise,143,60,01100110,8
White Noise,144,69,11001000,8
White Noise,145,64,10001111,8
White Noise,146,68,10111110,8
White Noise,147,54,00101010,8
White Noise,148,52,00010100,8
White Noise,149,69,11001010,8
White Noise,150,55,00101111,8
White Noise,151,56,00111001,8
White Noise,152,64,10010101,8
White Noise,153,77,11110010,8
White Noise,154,56,00111100,8
White Noise,155,73,11100010,8
White Noise,156,76,11110001,8
White Noise,157,66,10101110,8
White Noise,158,65,10100110,8
White Noise,159,68,11000011,8
White Noise,160,63,10000111,8
White Noise,161,59,01010111,8
White Noise,162,66,10101010,8
White Noise,163,55,00110011,8
White Noise,164,67,10110001,8
White Noise,165,62,01111110,8
White Noise,166,79,11111010,8
White Noise,167,87,0000000,7
White Noise,168,73,11100001,8
White Noise,169,50,00001011,8
White Noise,170,64,10001101,8
White Noise,171,57,01000101,8
White Noise,172,57,01001101,8
White Noise,173,63,10001000,8
White Noise,174,65,10011011,8
White Noise,175,56,00111111,8
White Noise,176,65,10100111,8
White Noise,177,68,10111111,8
White Noise,178,59,01010110,8
White Noise,179,62,01111001,8
White Noise,180,68,10111100,8
White Noise,181,72,11011101,8
White Noise,182,52,00010110,8
White Noise,183,69,11001001,8
White Noise,184,74,11100111,8
White Noise,185,69,11001100,8
White Noise,186,56,01000000,8
White Noise,187,53,00100001,8
White Noise,188,64,10010011,8
White Noise,189,54,00101100,8
White Noise,190,67,10110010,8
White Noise,191,70,11010010,8
White Noise,192,64,10011001,8
White Noise,193,66,10101001,8
White Noise,194,52,00010001,8
White Noise,195,60,01100101,8
White Noise,196,52,00010101,8
White Noise,197,71,11010100,8
White Noise,198,73,11011110,8
White Noise,199,64,10001110,8
White Noise,200,60,01011111,8
White Noise,201,63,10000101,8
White Noise,202,71,11011000,8
White Noise,203,64,10010110,8
White Noise,204,77,11110100,8
White Noise,205,54,00100101,8
White Noise,206,57,01001010,8
White Noise,207,49,00000111,8
White Noise,208,57,01001000,8
White Noise,209,71,11011001,8
White Noise,210,54,00100100,8
White Noise,211,81,11111100,8
White Noise,212,45,00000010,8
White Noise,213,62,01111101,8
White Noise,214,65,10100101,8
White Noise,215,54,00101001,8
White Noise,216,75,11101110,8
White Noise,217,66,10101100,8
White Noise,218,62,01111010,8
White Noise,219,66,10101000,8
White Noise,220,56,01000011,8
White Noise,221,59,01011011,8
White Noise,222,56,01000100,8
White Noise,223,69,11001110,8
White Noise,224,65,10100100,8
White Noise,225,61,01110111,8
White Noise,226,71,11010111,8
White Noise,227,48,00000100,8
White Noise,228,69,11000101,8
White Noise,229,54,00100110,8
White Noise,230,60,01101000,8
White Noise,231,52,00011010,8
White Noise,232,61,01110100,8
White Noise,233,63,10001100,8
White Noise,234,64,10010010,8
White Noise,235,52,00010111,8
White Noise,236,63,10000001,8
White Noise,237,68,11000000,8
White Noise,238,59,01011010,8
White Noise,239,62,01111100,8
White Noise,240,54,00101011,8
White Noise,241,55,00110100,8
White Noise,242,77,11110011,8
White Noise,243,65,10100001,8
White Noise,244,60,01101001,8
White Noise,245,73,11100000,8
White Noise,246,54,00101000,8
White Noise,247,60,01100011,8
White Noise,248,60,01100001,8
White Noise,249,65,10011010,8
White Noise,250,56,00111110,8
White Noise,251,53,00100011,8
White Noise,252,52,00011001,8
White Noise,253,75,11101100,8
White Noise,254,63,10001010,8
White Noise,255,39,111001011,9
